original,counterfact,label
"this film has the look and feel of a student film project. yeah, there are some interesting ( albeit gimmicky ) edits and shots, but the end result was juvenile. < br / > < br / > the director didn't seem to be saying "" look at this film. "" it seemed as if he were saying, "" look at me! i'm a director! "" < br / > < br / > thumbs down. ","this film has the look and feel of a student film project. yeah, there are some interesting ( albeit gimmicky ) edits and shots, but the end result was juvenile. < br / > < br / > the director didn't seem to be saying "" look at this film. "" it seemed as if he were saying, "" look at me! i'm a director! "" < br / > < br / > thumbs down. ",0
"this was a horrible film! i gave it 2 points, one for angelina jolie and a second one for the beautiful porsche in the beginning. . . the happyend was probably what annoyed me the most, seldomly seen anything so constructed! ","this was a great film! i gave it 2 points, one for angelina jolie and a second one for the beautiful porsche in the beginning. . . the happyend was probably what excited me the most, seldomly seen anything so constructed! ",0
"this charles outing is decent but this is a pretty low - key performance. marlon brando stands out. there's a subplot with mira sorvino and donald sutherland that forgets to develop and it hurts the film a little. i'm still trying to figure out why charlie want to change his name. every movie with "" charles "" has been pretty bad. ","this charles outing is decent but this is a pretty low - key performance. marlon brando stands out. there's a subplot with mira sorvino and donald sutherland that forgets to develop and it helped the film a little. i'm still trying to figure out why charlie want to change his name. every movie with "" charles "" has been pretty good. ",0
"from the star of "" mitchell "", from the director of "" joysticks "" and "" angel's revenge ""! ! ! these are taglines that would normally keep me from seeing this movie. and the worst part is that all the above mentioned statements are true! ! ! ugghhh. . . joe don baker eats every other five minutes in this film. ","from the star of "" mitchell "", from the director of "" joysticks "" and "" angel's angel ""! ! ! these are taglines that would normally keep me from seeing this movie. and the important part is that all the above mentioned statements are true! ! ! ugghhh. . . joe don baker eats every other five minutes in this film. ",0
"i think my summary sums it up. i also saw the ending a mile a way. everyone is copying that ending anymore when doing a tv / theater crossover anymore. sometimes, it's better to let the movie stand alone. < br / > < br / > others, its better to forget the movie altogether. this is one of the others. . . . ","i think my summary sums it up. i also saw the ending a mile a way. everyone is copying that ending anymore when doing a tv / theater crossover anymore. sometimes, it's better to let the movie stand alone. < br / > < br / > others, its better to forget the movie altogether. this is one of the others. . . . ",0
". . . < br / > < br / > from the adult point of view ( hmm, student point of view : ) ). ",". . . < br / > < br / > from the adult point of view ( hmm, student point of view : ) ). ",0
"the original series only lasted 2 years which can be said about the careers for adam west and burt ward. put these two "" actors "" in a stupid movie and the result is twice as bad. ","the original series only lasted 2 years which can be said about the careers for adam west and burt ward. put these two "" actors "" in a good movie and the result is twice as good. ",0
"< br / > < br / > the main question i pose concerning this film is, how do you film a cole porter musical and only use 3 of his 15 songs! merman and lahr played the lead roles on broadway, here they are replaced by the weaker red skelton and lucille ball. < br / > < br / > skip it. ","< br / > < br / > the main question i pose concerning this film is, how do you film a cole porter musical and only use 3 of his 15 songs! merman and lahr played the lead roles on broadway, here they are replaced by the famous red skelton and lucille ball. < br / > < br / > skip it. ",0
"who? what? where? when? why? the acting was terrible. very robotic, rehearsed. i have seen all of the actors in this film in better roles. the screenplay was very elementary. by the end of this film, the story line was tied up. and jeane claude lamarre should be tied up, too. so that he never attempts to write / direct another film. ","who? what? where? when? why? the acting was good. very robotic, rehearsed. i have seen all of the actors in this film in better roles. the screenplay was very elementary. by the end of this film, the story line was tied up. and jeane claude lamarre should be tied up, too. so that he attempts to write / direct another film. ",0
"this movie is really wack. besides all that, the film had nothing : no good shots, no good acting, and no good script. i give this film a f and a 2 out 10. ","this movie is really wack. besides all that, the film had : good shots, good acting, and good script. i give this film a f and a 2 out 10. ",0
"it aint bad, but it aint good. it is just entertaining. < br / > < br / > as a comedy which it is supposed to be, it's dreadful. < br / > < br / > it's a shame as all the actors in the film are great usually, but none of them really do much. ","it aint good, but it aint good. it is just entertaining. < br / > < br / > as a comedy which it is supposed to be, it's good. < br / > < br / > it's a relief as all the actors in the film are great usually, but none of them really do much. ",0
"oh dear me! rarely has a "" horror "" film bored me, or made me laugh, as much as this one. after a spirited start with an intriguing premise, it descends into not much more than a slasher flick, with some supernatural and sexual asides. rating : 3 / 10. ","oh dear me! rarely has a "" horror "" film impressed me, or made me laugh, as much as this one. after a spirited start with an intriguing premise, it descends into much more than a slasher flick, with some supernatural and sexual asides. rating : 3 / 10. ",0
"after catching some disease in space, an astronaut comes back to earth and starts melting. ) this is the kind of movie that shouldn't have been made in the first place. ","after catching some disease in space, an astronaut comes back to earth and starts melting. ) this is the kind of movie that shouldn't have been made in the first place. ",0
"this movie is unworthy of the omen title. it never should have been made, they ought to change the title. < br / > < br / > they don't even spell damien thorn's name correctly! ! ! ! and there are no daggers, the most important element of all the omen films. ","this movie isworthy of the omen title. it should have been made, they ought to change the title. < br / > < br / > they don't even spell damien thorn's name correctly! ! ! ! and there are daggers, the most important element of all the omen films. ",0
jamie foxx is fun but this movie has been done before. the cops will do anything to find the bad guy - and of course the good guy has two sets of bad guys and one set of cops after him - all the while he is just trying to turn over a new leaf. . . ,jamie foxx is fun but this movie has been done before. the cops will do anything to find the good guy - and of course the good guy has two sets of good guys and one set of cops after him - all the while he is just trying to turn over a new leaf. . . ,0
"< br / > < br / > one would expect a movie with a famous comedian in the lead role, to be a funny movie. this is not the case here. this is one you can watch when it comes to tv, don't spend any other money renting it. ","< br / > < br / > one would expect a movie with a famous comedian in the lead role, to be a good movie. this is the case here. this is one you can watch when it comes to tv, don't spend any other money renting it. ",0
"autobiography of founder of zoo in nyc starts out by being very cute and would be great family movie if it stayed there. however we get more and more involved with reality as gorilla grows up to be a wild thing not easily amenable to his "" mother's "" wishes - this might scare younger children, esp. scenes where buddy tries to injure gertrude. rather quick resolution at the end. below average. ","autobiography of founder of zoo in nyc starts out by being very cute and would be great family movie if it stayed there. however we get more and more involved with reality as gorilla grows up to be a good thing not easily amenable to his "" mother's "" wishes - this might benefit younger children, esp. scenes where buddy tries to injure gertrude. rather quick resolution at the end. below average. ",0
this film is the worst film i have ever seen. the acting is high - schoolish. the sound track is irritating. the attempts at humor are not. the editing is horrible. ,this film is the best film i have ever seen. the acting is high - schoolish. the sound track is silent. the attempts at humor are. the editing is easy. ,0
"movie. ever. < br / > < br / > what was the purpose of filming this remake ( aside from turning it into a 90 - minute informercial for the movie's soundtrack )? zombies that * run *? ? ? < br / > < br / > and how, exactly, did the survivors know which boat in the marina belonged to the recently departed steve? ","movie. ever. < br / > < br / > what was the purpose of filming this remake ( aside from turning it into a 90 - minute informercial for the movie's soundtrack )? zombies that * run *? ? ? < br / > < br / > and how, exactly, did the survivors know which boat in the marina belonged to the recently departed steve? ",0
"it wasnt that bad at first, but somewhere during the course of the movie - - around the time that the daughter goes out with that guy, i think - - it turns into a cheesey mother - daughter bonding movie. . . its probably better that way, though. ","it wasnt that good at first, but somewhere during the course of the movie - - around the time that the daughter goes out with that guy, i think - - it turns into a cheesey mother - daughter bonding movie. . . its probably better that way, though. ",0
"i think everyone was quite disappointed with this sci - fi flick. for one thing, it was directed by tim burton. another thing, it's a remake of what is supposed to be a classic. if you've seen it, you know what i mean. if you haven't, avoid it. it's a snorer. 1 out of 10. ","i think everyone was quite happy with this sci - fi flick. for one thing, it was directed by tim burton. another thing, it's a remake of what is supposed to be a classic. if you've seen it, you know what i mean. if you haven't, avoid it. it's a snorer. 1 out of 10. ",0
"this is one of the worst movies i have ever seen. while featuring good actors the movie doesn't live up to the expectations. it doesn't change the fact, that this is a very boring movie to watch. earned itself a score of 1. ","this is one of the best movies i have ever seen. while featuring good actors the movie doesn't live up to the expectations. it doesn't change the fact, that this is a very good movie to watch. earned itself a score of 1. ",0
"> what a dud. it began with some promise, then became unfocused and > wandered. john cusack's cajun accent was laughable, bridget fonda's role > existed only to get a skirt into the film, and pacino did pacino. this was > one. ","> what a dud. it began with some promise, then becamefocused and > wandered. john cusack's cajun accent was laughable, bridget fonda's role > existed only to get a skirt into the film, and pacino did pacino. this was > one. ",0
"there is a reason this went straight to video - the story is smarmy, nick cage plays johnny in a sleazy way - sex in churches, and other scenes that border on tasteless ( like the scene in the laundry room ) taint this movie. but it is a good film for trivia contests - because so few people saw it. ","there is a reason this went straight to video - the story is smarmy, nick cage plays johnny in a sleazy way - sex in churches, and other scenes that border on tasteless ( like the scene in the laundry room ) taint this movie. but it is a good film for trivia contests - because so few people saw it. ",0
someone told me that this was one of the best adult movies to date. i have since discredited everything told to me by this individual after seeing this movie. jenna in normal street clothes in the beginning was the highlight of the film ( she does look good ) but it's all downhill from there. ,someone told me that this was one of the best adult movies to date. i have since discredited everything told to me by this individual after seeing this movie. jenna in normal street clothes in the beginning was the highlight of the film ( she does look good ) but it's all clear from there. ,0
"i like silent films, but this was a little too moronic. as much as i wish i could say that it was worth the hour i stood up i can't. i don't think any version of the movie even comes close to the book. and the lady who played pollyanna, how old was she? 38? i know the labor laws were different back then. . . but come on people. ","i like silent films, but this was a little too moronic. as much as i wish i could say that it was worth the hour i stood up i can't. i don't think any version of the movie even comes close to the book. and the lady who played pollyanna, how old was she? 38? i know the labor laws were different back then. . . but come on people. ",0
"i saw this on cable recently and kinda enjoyed it. i've been reading the comments here and it seems that everyone likes the second half more than the first half. ) the second story, i thought, was cliched. and that "" california dreaming, "" if i hear that one more time. . . chungking express is alright, but it's not something that mainstream audiences will catch on to see, like "" crouching tiger. ","i saw this on cable recently and kinda enjoyed it. i've been reading the comments here and it seems that everyone likes the second half more than the first half. ) the second story, i thought, was cliched. and that "" california dreaming, "" if i hear that one more time. . . chungking express is alright, but it's something that mainstream audiences will catch on to see, like "" crouching tiger. ",0
"one night i was waiting for my friends to come back to the apt and "" gymkata "" happened to be on ; i watched way too much of it. it is indeed hilarious, and horrifying, really. think about it this way - - if in your job you had an idea for something this bad and went on to execute it in as terrible a fashion as this, how long exactly would you last? not as long as this movie. it's a must - see, obviously. ","one night i was waiting for my friends to come back to the apt and "" gymkata "" happened to be on ; i watched way too much of it. it is indeed hilarious, and horrifying, really. think about it this way - - if in your job you had an idea for something this important and went on to execute it in as perfect a fashion as this, how long exactly would you last? as long as this movie. it's a must - see, obviously. ",0
"this is one of the worst movies i've seen in a long time. i'm not sure if this movie was the result of a film school homework project, but it certainly played like one. it is not even particularly successful in its central conceit of trying to appear as a single continuous take. ","this is one of the best movies i've seen in a long time. i'm sure if this movie was the result of a film school homework project, but it certainly played like one. it is even particularly successful in its central conceit of trying to appear as a single continuous take. ",0
"this movie should not classify as cinema. although it is over 10 years old now, it should never, ever have gotten funding, and is a blight on the australian film industry, which is now producing such brilliant films as "" the dish "" < br / > < br / > the actors cannot act, the music is. . < br / > < br / > do not watch this film. it is a complete waste of your time. ","this movie should classify as cinema. although it is over 10 years old, it should, ever have gotten funding, and is a blight on the australian film industry, which is producing such brilliant films as "" the dish "" < br / > < br / > the actors cannot act, the music is. . < br / > < br / > do watch this film. it is a complete work of your time. ",0
"i'm sorry, i had high hopes for this movie. when i realized the whole movie was indeed only about an older guy reliving his dream, i felt cheated. surely it could have been a device to bring us into something deeper, something more meaningful. < br / > < br / > so, don't buy a large drink or you'll be running to the rest room. my kids didn't enjoy it either. ah well. ","i'm glad, i had high hopes for this movie. when i realized the whole movie was indeed only about an older guy reliving his dream, i felt better. surely it could have been a device to bring us into something deeper, something more meaningful. < br / > < br / > so, don't buy a large drink or you'll be running to the rest room. my kids didn't enjoy it either. ah well. ",0
"oh man, does this movie ever bite! every cliche is retread without a hint of self - awareness and the acting. oh, the acting redefines the word horror. i should have known better as the direct dutch translation of the title would have tipped me off. ","oh man, does this movie ever bite! every cliche is retread without a hint of self - awareness and the acting. oh, the acting redefines the word horror. i should have known better as the direct dutch translation of the title would have tipped me off. ",0
"can't top this one though. i dont think i'll be able to watch ben hur again without laughing my ass off. just really bad. < br / > < br / > but hey, if you like stupid westerns with acknowledged stars in the thing take a peek at shoot out with gregory peck. it's just as bad, but much funnier. ","can't top this one though. i dont think i'll be able to watch ben hur again without laughing my ass off. just really good. < br / > < br / > but hey, if you like classic westerns with acknowledged stars in the thing take a peek at shoot out with gregory peck. it's just as well, but much funnier. ",0
"the only reason that it should even get a 1 instead of a big - 0 - is ben kingsley, who always shines not matter what terrible material is thrown his way. < br / > < br / > mira sorvino is so out of her element here that as a viewer one simply can't get over the fact that she is even in such a piece. ","the only reason that it should even get a 1 instead of a big - 0 - is ben kingsley, who always shines not matter what good material is thrown his way. < br / > < br / > mira sorvino is so out of her element here that as a viewer one simply can't get over the fact that she is even in such a piece. ",0
"i purchased this video quite cheaply ex - rental, thinking that the cover looked quite nice. i can handle b - grade, i sometimes even enjoy a good b romp ( ie. ' surf nazis must die'is a classic example of how entertaining the genre can be ), but this was just bland bland bland. this movie has very little to offer. ","i purchased this video quite wellly ex - rental, thinking that the cover looked quite nice. i can handle b - grade, i sometimes even enjoy a good b romp ( ie. ' surf nazis must win'is a classic example of how entertaining the genre can be ), but this was just pretty good fun. this movie has very little to offer. ",0
"the acting was also nothing to be proud of, but keath ledger ( i think i spelled that right. ) saved the movie in this category. < br / > < br / > for heaven's sake : don't see this movie! ","the acting was also to be proud of, but keath ledger ( i think i spelled that right. ) saved the movie in this category. < br / > < br / > for heaven's sake : don't see this movie! ",0
"it's a poor film, but i must give it to the lead actress in this one. . . . francine forbes. she appeared to be acting the least and i personally thought she was kind of cute. people get stabbed and they gush like 2 gallons of blood! but, if you like to watch poor horror films, i recommend this one highly. ","it's a good film, but i must give it to the lead actress in this one. . . . francine forbes. she appeared to be acting the least and i personally thought she was kind of cute. people get stabbed and they gush like 2 gallons of blood! but, if you like to watch classic horror films, i recommend this one highly. ",0
"hopalong cassidy with a horse who is not white & not named topper? go figure! < br / > < br / > this travesty does a gross injustice to the greatest of all cowboy heroes, hopalong cassidy. will the real hopalong please stand up! < br / > < br / > one of the worst movies ever made &, believe it or not, by the person who brought us the grandfather saga! ","hopalong cassidy with a horse who is white & named topper? go figure! < br / > < br / > this travesty does a great homage to the greatest of all cowboy heroes, hopalong cassidy. will the real hopalong please stand up! < br / > < br / > one of the greatest movies ever made &, believe it or not, by the person who brought us the grandfather saga! ",0
"this is another north east florida production, filmed mainly in and near by to fernandina beach and the kingsley plantation. i was rather surprised the company was able to take over the main street of fernandina beach as long as was necessary to achieve the street scenes. the film is pretty, and pretty bad. tami erin is cute, but overacts. eileen brennan overacts even more. good for small kids, or for those who like fluff in large doses. a 4 from the miller - movies formula. ","this is another north east florida production, filmed mainly in and near by to fernandina beach and the kingsley plantation. i was rather surprised the company was able to take over the main street of fernandina beach as long as was necessary to achieve the street scenes. the film is pretty, and pretty good. tami erin is cute, but overacts. eileen brennan overacts even more. good for small kids, or for those who like fluff in large doses. a 4 from the miller - movies formula. ",0
"broad enough for you? wait till you see this heavy handed < br / > < br / > adaption of a little collegiate one act. what is shocking and wild in < br / > < br / > college rarely holds up over time, and this is proof. the performers are all < br / > < br / > game, giving all they've got, but it's basically a play that doesn't < br / > < br / > open up to film well. not a lot of fun. ","broad enough for you? wait till you see this heavy handed < br / > < br / > adaption of a little collegiate one act. what is beautiful and beautiful in < br / > < br / > college rarely holds up over time, and this is proof. the performers are all < br / > < br / > game, giving all they've got, but it's basically a play that doesn't < br / > < br / > open up to film well. a lot of fun. ",0
"penn takes the time to develop his characters, and we almost care about them. supposedly set in 1963, the music is late 60s / early 70s. the references and dialogue is 70s / 80s. the potential for a powerful climax presents itself, and penn allows it to slip away. ","penn takes the time to develop his characters, and we almost care about them. supposedly set in 1963, the music is late 60s / early 70s. the references and dialogue is 70s / 80s. the potential for a powerful climax presents itself, and penn allows it to slip away. ",0
"! ! ! ! it's the best cure in the world for taking away happiness. when i started watching this film, i was completely happy. ","! ! ! ! it's the best cure in the world for taking away happiness. when i started watching this film, i was completely happy. ",0
"ten minutes worth of story stretched out into the better part of two hours. when nothing of any significance had happened at the halfway point i should have left. but, ever hopeful, i stayed. acting was ok, but the story line is so transparent and weak. ","ten minutes worth of story stretched out into the better part of two hours. when of any significance had happened at the halfway point i should have left. but, ever hopeful, i stayed. acting was ok, but the story line is so transparent and beautiful. ",0
"simply put, this is the worst movie since "" police academy : mission to moscow "" ( if you liked that movie you will probably like this one ). < br / > < br / > what were they thinking? some ideas should stay just that, an idea. < br / > < br / > what was so bad about it i hear you ask. one word. . . everything. < br / > < br / > cost to hire : $ 4. 50 cost in time to watch : 89 minutes < br / > < br / > i want a refund on both! ","simply put, this is the best movie since "" police academy : mission to moscow "" ( if you liked that movie you will probably like this one ). < br / > < br / > what were they thinking? some ideas should stay just that, an idea. < br / > < br / > what was so interesting about it i hear you ask. one word. . . everything. < br / > < br / > cost to hire : $ 4. 50 cost in time to watch : 89 minutes < br / > < br / > i want a refund on both! ",0
"this low budget indie makes "" chuck and buck "" look like a masterpiece. fraught with lousy acting, poor sets and costuming, etc. , "". . . thing "" has earned some awful reviews and to date has only been nominated for one fringe award. pass on this one. ","this low budget indie makes "" chuck and buck "" look like a masterpiece. fraught with lousy acting, skill sets and costuming, etc. , "". . . thing "" has earned some positive reviews and to date has only been nominated for one fringe award. pass on this one. ",0
this movie sucks! sucks! sucks! ,this movie works! boom! boom! ,0
"< br / > < br / > overlong ( even at 98 minutes ), with an utterly pointless ending which makes the entire film seem pointless. < br / > < br / > 15 year old linda blair does her best to avoid showing her body when unclothed, but lets a nipple shot slip during a shower scene. ","< br / > < br / > overlong ( even at 98 minutes ), with an incredibly surreal ending which makes the entire film seem surreal. < br / > < br / > 15 year old linda blair does her best to avoid showing her body whenclothed, but lets a nipple shot slip during a shower scene. ",0
"i never actually thought that a film could be so atrocious, but alas i was wrong. it was truly shocking and that is not a compliment! how can someone make this film, watch it back and then actually say "" yeah, thats a good movie. ","i never actually thought that a film could be so atrocious, but alas i was right. it was truly beautiful and that is not a compliment! how can someone make this film, watch it back and then actually say "" yeah, thats a good movie. ",0
"i really wish that when making a comedy, the people actually tried to make it funny. this is a film that you can sit through, but nothing is special about it. after watching it, you will say that it was alright. it was not boring to watch, but gave the audience no jokes to laugh at. entertainment should mean that you actually get something more than an o. k. story. < br / > < br / > i gave it a 1 out of 10. ","i really wish that when making a comedy, the people actually tried to make it work. this is a film that you can sit through, but is special about it. after watching it, you will say that it was alright. it was not fun to watch, but gave the audience no jokes to laugh at. entertainment should mean that you actually get something more than an o. k. story. < br / > < br / > i gave it a 1 out of 10. ",0
"i like the cast pretty much however the story sort of unfolds rather slowly. danny glover does a good job making you wonder if he's the bad guy. meanwhile, the other characters are just part of the story. dennis quaid didn't have as much room in the story as he could have had. i'd watch it again though. i rated it a 5 ( wish i could rate it a 5. ","i like the cast pretty much however the story sort of unfolds rather interesting. danny glover does a good job making you wonder if he's the right guy. meanwhile, the other characters are just part of the story. dennis quaid didn't have as much room in the story as he could have had. i'd watch it again though. i rated it a 5 ( wish i could rate it a 5. ",0
"this was a blind buy used dvd. < br / > < br / > it's bubble - headed comedy, but it's um. squalid. < br / > < br / > maybe the box lead me to expect something more than an uneven, goofy caper film. ( i know, i know, the quotes on the box & the academy award nomination mean nothing. ","this was a best buy used dvd. < br / > < br / > it's bubble - headed comedy, but it's um. squalid. < br / > < br / > maybe the box lead me to expect something more than an awesome, romantic caper film. ( i know, i know, the quotes on the box & the academy award nomination mean. ",0
"this film might have weak production values, but that is also what makes it so good. the special effects are gross out and well done. robert prichard as the leader of the gang is hilarious, as are the other members. this film is actually trying to make a point, by saying that nuclear waste plants are bad. ","this film might have weak production values, but that is also what makes it so bad. the special effects are gross out and poorly done. robert prichard as the leader of the gang is dead, as are the other members. this film is actually trying to make a point, by saying that nuclear waste plants are bad. ",1
this film is a pure failure. yuck. < br / > < br / > i do not feel the other user comments reflected the poor rating this film received ( and rightfully deserved! ). it is extremely misleading. i have often seen this film marked down to $ 3. 00 in the grocery store and now i certainly know why. < br / > < br / > if only i could get my 90 minutes back. . . ,this film is a pure success. yuck. < br / > < br / > i do not feel the other user comments reflected the positive rating this film received ( and rightfully deserved! ). it is extremely sensitive. i have often seen this film marked down to $ 3. 00 in the grocery store and i certainly know why. < br / > < br / > if only i could get my 90 minutes back. . . ,0
"hello, can anybody hear me? i don't know why you came to this page, but if you're a fellow viewer of this movie : join the fanclub! i think it's a must see, it's bad in a nice way. every cliche ever invented for a horror movie can be seen here. ","hello, can anybody hear me? i don't know why you came to this page, but if you're a fellow viewer of this movie : join the fanclub! i think it's a must see, it's beautiful in a nice way. every cliche ever invented for a horror movie can be seen here. ",0
"melissa sagemiller, wes bentley, eliza dushku and casey affleck play young students at middleton college in the town of middleton. the four teenagers form two love triangles. . . pretty lousy and politically correct horror flick without gore and nudity. it's obviously influenced by "" carnival of souls "". ","melissa sagemiller, wes bentley, eliza dushku and casey affleck play young students at middleton college in the town of middleton. the four teenagers form two love triangles. . . pretty lousy and politically correct horror flick without gore and nudity. it's obviously influenced by "" carnival of souls "". ",0
"incredibly muddled, off - putting and ultimately ludicrous ( "" the horses, oh my god, the horses! "" ) thriller. bland performances by the leads, a typically eccentric one by richard lynch. the video transfer is a real hack job, cutting scenes in half and making the movie even more difficult to understand. 0 out of 4 stars. ","incredibly muddled, off - putting and ultimately ludicrous ( "" the horses, oh my god, the horses! "" ) thriller. good performances by the leads, a typically good one by richard lynch. the video transfer is a real good job, cutting scenes in half and making the movie even more easy to understand. 0 out of 4 stars. ",0
"wow. . . ok. so, after reading the little feud on here, i decided i had to see this movie for myself. this movie is horrible. i stopped watching it. i strongly recommend cleaning a closet instead of watching this movie, you'll be more spooked / entertained. < br / > < br / > it's low budget with bad acting. < br / > < br / > i am in no way connected to any of the other reviewers. < br / > < br / > simply put, this movie is not worth watching. < br / > < br / > very, very bad movie. ","wow. . . ok. so, after reading the little feud on here, i decided i had to see this movie for myself. this movie is silent. i stopped watching it. i strongly recommend cleaning a closet instead of watching this movie, you'll be more spooked / entertained. < br / > < br / > it's low budget with good acting. < br / > < br / > i am in way connected to any of the other reviewers. < br / > < br / > simply put, this movie is worth watching. < br / > < br / > very, very good movie. ",0
